:@computed_region_csmy_5jwy,:@computed_region_f3tr_pr43,:@computed_region_nwen_78xc,address,city,county_name,effectiveness_of_care_national_comparison,effectiveness_of_care_national_comparison_footnote,efficient_use_of_medical_imaging_national_comparison,efficient_use_of_medical_imaging_national_comparison_footnote,emergency_services,hospital_name,hospital_overall_rating,hospital_overall_rating_footnote,hospital_ownership,hospital_type,location,location_address,location_city,location_state,location_zip,meets_criteria_for_meaningful_use_of_ehrs,mortality_national_comparison,mortality_national_comparison_footnote,patient_experience_national_comparison,patient_experience_national_comparison_footnote,phone_number,phone_number_type,provider_id,readmission_national_comparison,readmission_national_comparison_footnote,safety_of_care_national_comparison,safety_of_care_national_comparison_footnote,state,timeliness_of_care_national_comparison,timeliness_of_care_national_comparison_footnote,zip_code
6,3009,3009,202 NORTH DIVISION STREET PLAZA ONE,AUBURN,KING,Same as the national average,,Same as the national average,,TRUE,MULTICARE AUBURN MEDICAL CENTER,2,,Voluntary non-profit - Private,Acute Care Hospitals,POINT (-122.229833 47.309153),202 NORTH DIVISION STREET PLAZA ONE,AUBURN,WA,,TRUE,Same as the national average,,Below the national average,,2538337711,,500015,Same as the national average,,Same as the national average,,WA,Below the national average,,98001
50,1266,1266,1465 E PARKDALE AVE,MANISTEE,MANISTEE,Same as the national average,,Same as the national average,,TRUE,MUNSON HEALTHCARE MANISTEE HOSPITAL,3,,Voluntary non-profit - Other,Acute Care Hospitals,POINT (-86.273439 44.272355),1465 E PARKDALE AVE,MANISTEE,MI,,TRUE,Same as the national average,,Same as the national average,,2313981000,,230303,Same as the national average,,Same as the national average,,MI,Above the national average,,49660
48,2496,2496,140 NUTT ROAD,PHOENIXVILLE,CHESTER,Same as the national average,,Same as the national average,,TRUE,PHOENIXVILLE HOSPITAL,3,,Proprietary,Acute Care Hospitals,POINT (-75.538225 40.133452),140 NUTT ROAD,PHOENIXVILLE,PA,,TRUE,Same as the national average,,Below the national average,,6109831000,,390127,Same as the national average,,Same as the national average,,PA,Below the national average,,19460
36,1481,1481,305 LANGDON STREET,SOMERSET,PULASKI,Same as the national average,,Same as the national average,,TRUE,LAKE CUMBERLAND REGIONAL HOSPITAL,2,,Proprietary,Acute Care Hospitals,POINT (-84.617956 37.086576),305 LANGDON STREET,SOMERSET,KY,,TRUE,Below the national average,,Same as the national average,,6066797441,,180132,Below the national average,,Same as the national average,,KY,Same as the national average,,42503
36,1323,1323,1305 N ELM ST,HENDERSON,HENDERSON,Same as the national average,,Same as the national average,,TRUE,METHODIST HOSPITAL,4,,Voluntary non-profit - Church,Acute Care Hospitals,POINT (-87.581257 37.853858),1305 N ELM ST,HENDERSON,KY,,TRUE,Same as the national average,,Same as the national average,,2708277700,,180056,Above the national average,,Above the national average,,KY,Above the national average,,42420
37,640,640,250 HOSPITAL DRIVE PO BOX 1817,LEXINGTON,DAVIDSON,Same as the national average,,Same as the national average,,FALSE,LEXINGTON MEMORIAL HOSPITAL INC,3,,Voluntary non-profit - Private,Acute Care Hospitals,POINT (-80.287224 35.802754),250 HOSPITAL DRIVE PO BOX 1817,LEXINGTON,NC,,TRUE,Same as the national average,,Same as the national average,,3362485161,,340096,Same as the national average,,Same as the national average,,NC,Same as the national average,,27293
17,306,306,300 UTAH STREET,HIAWATHA,BROWN,Not Available,Results are not available for this reporting period,Below the national average,,TRUE,HIAWATHA COMMUNITY HOSPITAL,2,,Voluntary non-profit - Private,Critical Access Hospitals,POINT (-95.531157 39.851819),300 UTAH STREET,HIAWATHA,KS,,TRUE,Same as the national average,,Same as the national average,,7857422131,,171341,Same as the national average,,Not Available,Results are not available for this reporting period,KS,Same as the national average,,66434
45,1813,1813,501 SOUTH  UNION AVENUE,HAVRE DE GRACE,HARFORD,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,TRUE,UNIVERSITY OF MARYLAND HARFORD MEMORIAL HOSPITAL,Not Available,Data suppressed by CMS for one or more quarters,Voluntary non-profit - Private,Acute Care Hospitals,POINT (-76.091528 39.54348),501 SOUTH UNION AVENUE,HAVRE DE GRACE,MD,,TRUE,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,4436433303,,210006,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,MD,Not Available,Results are not available for this reporting period,21078
37,632,632,1240 HUFFMAN MILL RD,BURLINGTON,ALAMANCE,Same as the national average,,Same as the national average,,TRUE,ALAMANCE REGIONAL MEDICAL CENTER,3,,Voluntary non-profit - Private,Acute Care Hospitals,POINT (-79.502528 36.063749),1240 HUFFMAN MILL RD,BURLINGTON,NC,,TRUE,Below the national average,,Same as the national average,,3365387000,,340070,Same as the national average,,Above the national average,,NC,Same as the national average,,27216
23,2024,2024,"24429 TOMBALL PARKWAY, SUITE 100",TOMBALL,HARRIS,Same as the national average,,Not Available,Results are not available for this reporting period,FALSE,EMERUS COMMUNITY HOSPITAL,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Proprietary,Acute Care Hospitals,POINT (-95.605323 30.037176),"24429 TOMBALL PARKWAY, SUITE 100",TOMBALL,TX,,,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,2815160911,,670095,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,TX,Above the national average,,77375
29,1542,1542,1015 MEDICAL CENTER PARKWAY,SELMA,DALLAS,Same as the national average,,Same as the national average,,TRUE,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,3,,Proprietary,Acute Care Hospitals,POINT (-87.055174 32.430248),1015 MEDICAL CENTER PARKWAY,SELMA,AL,,TRUE,Same as the national average,,Below the national average,,3344184100,,10118,Same as the national average,,Above the national average,,AL,Same as the national average,,36701
9,1450,1450,214 S 4TH STREET,KREMMLING,GRAND,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,TRUE,MIDDLE PARK MEDICAL CENTER,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Government - Hospital District or Authority,Critical Access Hospitals,POINT (-106.391183 40.0575),214 S 4TH STREET,KREMMLING,CO,,TRUE,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,9707243442,,61318,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,CO,Not Available,Results are not available for this reporting period,80459
23,2881,2881,300 WILSON STREET,HENDERSON,RUSK,Same as the national average,,Same as the national average,,FALSE,ETMC HENDERSON,3,,Voluntary non-profit - Private,Acute Care Hospitals,POINT (-94.796433 32.161614),300 WILSON STREET,HENDERSON,TX,,TRUE,Same as the national average,,Same as the national average,,9036577541,,450475,Same as the national average,,Same as the national average,,TX,Same as the national average,,75652
34,1863,1863,2320 E 93RD ST,CHICAGO,COOK,Same as the national average,,Same as the national average,,TRUE,ADVOCATE TRINITY HOSPITAL,3,,Voluntary non-profit - Other,Acute Care Hospitals,POINT (-87.56725 41.726211),2320 E 93RD ST,CHICAGO,IL,,TRUE,Above the national average,,Below the national average,,7739672000,,140048,Below the national average,,Below the national average,,IL,Below the national average,,60617
,,,305 S STATE ST  POST OFFICE BOX 4450,ABERDEEN,BROWN,Same as the national average,,Same as the national average,,TRUE,AVERA ST LUKES,5,,Voluntary non-profit - Church,Acute Care Hospitals,POINT (-98.47827269999999 45.4616289),305 S STATE ST POST OFFICE BOX 4450,ABERDEEN,SD,,TRUE,Above the national average,,Above the national average,,6056225000,,430014,Above the national average,,Above the national average,,SD,Above the national average,,57401
6,2982,2982,411 FORTUYN ROAD,GRAND COULEE,GRANT,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,TRUE,COULEE MEDICAL CENTER,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Government - Hospital District or Authority,Critical Access Hospitals,POINT (-119.005364 47.942384),411 FORTUYN ROAD,GRAND COULEE,WA,,TRUE,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,5096331753,,501308,Same as the national average,,Not Available,Results are not available for this reporting period,WA,Not Available,Results are not available for this reporting period,99133
19,2242,2242,1000 POLE CREEK CROSSING,SIDNEY,CHEYENNE,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,TRUE,SIDNEY REGIONAL MEDICAL CENTER,3,,Voluntary non-profit - Private,Critical Access Hospitals,POINT (-102.98019 41.130754),1000 POLE CREEK CROSSING,SIDNEY,NE,,TRUE,Same as the national average,,Same as the national average,,3082545825,,281357,Same as the national average,,Not Available,Results are not available for this reporting period,NE,Not Available,Results are not available for this reporting period,69162
50,366,366,775 S MAIN ST,CHELSEA,WASHTENAW,Same as the national average,,Same as the national average,,TRUE,ST JOSEPH MERCY CHELSEA,5,,Voluntary non-profit - Private,Acute Care Hospitals,POINT (-84.016571 42.310594),775 S MAIN ST,CHELSEA,MI,,TRUE,Same as the national average,,Above the national average,,7344753911,,230259,Above the national average,,Above the national average,,MI,Same as the national average,,48118
23,3067,3067,815 N VIRGINIA STREET,PORT LAVACA,CALHOUN,Same as the national average,,Not Available,Results are not available for this reporting period,TRUE,MEMORIAL MEDICAL CENTER,4,,Government - Local,Critical Access Hospitals,POINT (-96.631537 28.620912),815 N VIRGINIA STREET,PORT LAVACA,TX,,TRUE,Same as the national average,,Above the national average,,3615526713,,451356,Same as the national average,,Not Available,Results are not available for this reporting period,TX,Same as the national average,,77979
18,543,543,630 WEST THIRD STREET,MILAN,SULLIVAN,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,TRUE,SULLIVAN COUNTY MEMORIAL HOSPITAL,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Government - Local,Critical Access Hospitals,POINT (-93.131136 40.202174),630 WEST THIRD STREET,MILAN,MO,,TRUE,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,6602654212,,261306,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,MO,Not Available,Results are not available for this reporting period,63556
45,1768,1768,400 WEST SEVENTH ST,FREDERICK,FREDERICK,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,TRUE,FREDERICK MEMORIAL HOSPITAL,Not Available,Data suppressed by CMS for one or more quarters,Voluntary non-profit - Private,Acute Care Hospitals,POINT (-77.41407 39.423745),400 WEST SEVENTH ST,FREDERICK,MD,,TRUE,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,2405663300,,210005,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,MD,Not Available,Results are not available for this reporting period,21701
47,2137,2137,79-01 BROADWAY,ELMHURST,QUEENS,Same as the national average,,Same as the national average,,TRUE,ELMHURST HOSPITAL CENTER,1,,Government - Local,Acute Care Hospitals,POINT (-73.88598 40.74434),79-01 BROADWAY,ELMHURST,NY,,TRUE,Same as the national average,,Below the national average,,7183341141,,330128,Below the national average,,Same as the national average,,NY,Below the national average,,11373
46,2492,2492,25 POCONO ROAD,DENVILLE,MORRIS,Same as the national average,,Same as the national average,,TRUE,SAINT CLARE'S HOSPITAL/ DENVILLE CAMPUS,2,,Proprietary,Acute Care Hospitals,POINT (-74.464479 40.894376),25 POCONO ROAD,DENVILLE,NJ,,TRUE,Same as the national average,,Below the national average,,9739835569,,310050,Below the national average,,Above the national average,,NJ,Same as the national average,,7834
18,2129,2129,100 MERCY WAY,JOPLIN,JASPER,Same as the national average,,Same as the national average,,TRUE,MERCY HOSPITAL JOPLIN,3,,Voluntary non-profit - Church,Acute Care Hospitals,POINT (-94.511799 37.034697),100 MERCY WAY,JOPLIN,MO,,TRUE,Below the national average,,Same as the national average,,4177812727,,260001,Below the national average,,Above the national average,,MO,Below the national average,,64804
34,1758,1758,900 NORTH WASHINGTON STREET,DU QUOIN,PERRY,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,TRUE,MARSHALL BROWNING HOSPITAL,4,This hospitals star rating only includes data reported on inpatient services,Voluntary non-profit - Private,Critical Access Hospitals,POINT (-89.2368 38.024441),900 NORTH WASHINGTON STREET,DU QUOIN,IL,,TRUE,Same as the national average,,Above the national average,,6185422146,,141331,Same as the national average,,Not Available,Results are not available for this reporting period,IL,Not Available,Results are not available for this reporting period,62832
11,491,491,10501 GOLF COURSE ROAD NW,ALBUQUERQUE,BERNALILLO,Same as the national average,,Not Available,Results are not available for this reporting period,TRUE,LOVELACE WESTSIDE HOSPITAL,4,,Government - Federal,Acute Care Hospitals,POINT (-106.675974 35.207508),10501 GOLF COURSE ROAD NW,ALBUQUERQUE,NM,,TRUE,Same as the national average,,Above the national average,,5057272001,,320074,Same as the national average,,Same as the national average,,NM,Same as the national average,,87114
8,1195,1195,1701 SANTA ANITA AVE,SOUTH EL MONTE,LOS ANGELES,Same as the national average,,Not Available,Results are not available for this reporting period,FALSE,GREATER EL MONTE COMMUNITY HOSPITAL,3,,Voluntary non-profit - Private,Acute Care Hospitals,POINT (-118.042452 34.048705),1701 SANTA ANITA AVE,SOUTH EL MONTE,CA,,TRUE,Same as the national average,,Below the national average,,6263507975,,50738,Same as the national average,,Same as the national average,,CA,Below the national average,,91733
47,2186,2186,400 NORTH MAIN STREET,WARSAW,WYOMING,Below the national average,,Not Available,Results are not available for this reporting period,TRUE,WYOMING COUNTY COMMUNITY HOSPITAL,3,,Government - Local,Acute Care Hospitals,POINT (-78.132533 42.753447),400 NORTH MAIN STREET,WARSAW,NY,,TRUE,Same as the national average,,Below the national average,,5857862233,,330008,Same as the national average,,Not Available,Results are not available for this reporting period,NY,Same as the national average,,14569
12,2369,2369,2865 DAGGETT AVENUE,KLAMATH FALLS,KLAMATH,Same as the national average,,Same as the national average,,TRUE,SKY LAKES MEDICAL CENTER,3,,Voluntary non-profit - Private,Acute Care Hospitals,POINT (-121.787391 42.252655),2865 DAGGETT AVENUE,KLAMATH FALLS,OR,,TRUE,Below the national average,,Same as the national average,,5412746150,,380050,Above the national average,,Same as the national average,,OR,Below the national average,,97601
8,79,79,400 WEST PUEBLO,SANTA BARBARA,SANTA BARBARA,Same as the national average,,Same as the national average,,TRUE,SANTA BARBARA COTTAGE HOSPITAL,5,,Voluntary non-profit - Private,Acute Care Hospitals,POINT (-119.723077 34.429483),400 WEST PUEBLO,SANTA BARBARA,CA,,TRUE,Same as the national average,,Above the national average,,8056827111,,50396,Above the national average,,Above the national average,,CA,Same as the national average,,93102
22,1706,1706,1125 MARGUERITE STREET,MORGAN CITY,SAINT MARY,Same as the national average,,Same as the national average,,TRUE,TECHE REGIONAL MEDICAL CENTER,3,,Proprietary,Acute Care Hospitals,POINT (-91.200157 29.708471),1125 MARGUERITE STREET,MORGAN CITY,LA,,TRUE,Same as the national average,,Same as the national average,,9853842440,,190014,Same as the national average,,Above the national average,,LA,Above the national average,,70380
32,2596,2596,1777 CURTIS DRIVE,IUKA,TISHOMINGO,Same as the national average,,Same as the national average,,TRUE,TISHOMINGO HEALTH SERVICES INC,4,,Voluntary non-profit - Private,Acute Care Hospitals,POINT (-88.209218 34.803686),1777 CURTIS DRIVE,IUKA,MS,,TRUE,Same as the national average,,Above the national average,,6624236051,,250002,Same as the national average,,Not Available,Results are not available for this reporting period,MS,Above the national average,,38852
15,69,69,2500 HIGHWAY 65 SOUTH,CLINTON,VAN BUREN,Below the national average,,Same as the national average,,TRUE,OZARK HEALTH,3,,Voluntary non-profit - Private,Critical Access Hospitals,POINT (-92.451889 35.565949),2500 HIGHWAY 65 SOUTH,CLINTON,AR,,TRUE,Same as the national average,,Not Available,Results are not available for this reporting period,5017457000,,41313,Same as the national average,,Not Available,Results are not available for this reporting period,AR,Above the national average,,72031
33,2581,2581,1330 TAYLOR AT MARION ST,COLUMBIA,RICHLAND,Same as the national average,,Same as the national average,,TRUE,PALMETTO HEALTH BAPTIST,2,,Voluntary non-profit - Private,Acute Care Hospitals,POINT (-81.033748 34.007227),1330 TAYLOR AT MARION ST,COLUMBIA,SC,,TRUE,Same as the national average,,Same as the national average,,8032965678,,420086,Same as the national average,,Below the national average,,SC,Below the national average,,29220
,,,"300 N PATTERSON, PO BOX 75",REED CITY,OSCEOLA,Same as the national average,,Same as the national average,,TRUE,SPECTRUM HEALTH REED CITY HOSPITAL,4,,Voluntary non-profit - Private,Critical Access Hospitals,,"300 N PATTERSON, PO BOX 75",REED CITY,MI,,TRUE,Same as the national average,,Same as the national average,,2318323271,,231323,Same as the national average,,Not Available,Results are not available for this reporting period,MI,Above the national average,,49677
7,5,5,5700 EAST HIGHWAY 90,SIERRA VISTA,COCHISE,Same as the national average,,Same as the national average,,TRUE,CANYON VISTA MEDICAL CENTER,1,,Voluntary non-profit - Other,Acute Care Hospitals,POINT (-110.230726 31.554635),5700 EAST HIGHWAY 90,SIERRA VISTA,AZ,,TRUE,Same as the national average,,Below the national average,,5204173001,,30043,Same as the national average,,Below the national average,,AZ,Below the national average,,85635
19,2248,2248,450 EAST 23RD ST,FREMONT,DODGE,Same as the national average,,Below the national average,,TRUE,FREMONT HEALTH MEDICAL CENTER,2,,Government - Local,Acute Care Hospitals,POINT (-96.492473 41.451464),450 EAST 23RD ST,FREMONT,NE,,TRUE,Below the national average,,Same as the national average,,4027211610,,280077,Above the national average,,Below the national average,,NE,Above the national average,,68025
47,2134,2134,160 EAST MAIN STREET,PORT JERVIS,ORANGE,Same as the national average,,Not Available,Results are not available for this reporting period,TRUE,BON SECOURS COMMUNITY HOSPITAL,3,,Voluntary non-profit - Church,Acute Care Hospitals,POINT (-74.682564 41.367911),160 EAST MAIN STREET,PORT JERVIS,NY,,TRUE,Same as the national average,,Same as the national average,,8458565351,,330135,Below the national average,,Same as the national average,,NY,Same as the national average,,12771
,,,P O BOX 130,DILLINGHAM,DILLINGHAM,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,TRUE,KANAKANAK HOSPITAL,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Voluntary non-profit - Private,Critical Access Hospitals,,P O BOX 130,DILLINGHAM,AK,,TRUE,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,9078425201,,21309,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,AK,Not Available,Results are not available for this reporting period,99576
20,714,714,1102 W MACARTHUR,SHAWNEE,POTTAWATOMIE,Below the national average,,Below the national average,,TRUE,ST ANTHONY SHAWNEE HOSPITAL,2,,Voluntary non-profit - Private,Acute Care Hospitals,POINT (-96.937587 35.361768),1102 W MACARTHUR,SHAWNEE,OK,,TRUE,Below the national average,,Above the national average,,4058788110,,370149,Same as the national average,,Same as the national average,,OK,Above the national average,,74804
23,3110,3110,4500 MEDICAL CENTER DRIVE,MCKINNEY,COLLIN,Same as the national average,,Same as the national average,,TRUE,MEDICAL CENTER OF MCKINNEY,3,,Proprietary,Acute Care Hospitals,POINT (-96.635503 33.159842),4500 MEDICAL CENTER DRIVE,MCKINNEY,TX,,TRUE,Same as the national average,,Same as the national average,,9725478000,,450403,Below the national average,,Above the national average,,TX,Above the national average,,75069
38,2508,2508,90 NORTH FOURTH STREET,MARTINS FERRY,BELMONT,Same as the national average,,Not Available,Results are not available for this reporting period,TRUE,EAST OHIO REGIONAL HOSPITAL,3,,Voluntary non-profit - Other,Acute Care Hospitals,POINT (-80.720889 40.098644),90 NORTH FOURTH STREET,MARTINS FERRY,OH,,TRUE,Same as the national average,,Below the national average,,7406331100,,360080,Same as the national average,,Same as the national average,,OH,Above the national average,,43935
,,,"10105 PARK ROW CIRCLE, SUITE 250",BATON ROUGE,EAST BATON ROUGE,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,FALSE,THE SPINE HOSPITAL OF LOUISIANA,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Proprietary,Acute Care Hospitals,POINT (-91.0943762 30.3804045),"10105 PARK ROW CIRCLE, SUITE 250",BATON ROUGE,LA,,TRUE,Not Available,Results are not available for this reporting period,Above the national average,,2257639900,,190266,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,LA,Not Available,Results are not available for this reporting period,70810
30,1116,1116,224 NW CRANE AVE,MADISON,MADISON,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,TRUE,MADISON COUNTY MEMORIAL HOSPITAL,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Government - Hospital District or Authority,Critical Access Hospitals,POINT (-83.419898 30.471413),224 NW CRANE AVE,MADISON,FL,,TRUE,Same as the national average,,Not Available,Results are not available for this reporting period,8509732271,,101311,Same as the national average,,Not Available,Results are not available for this reporting period,FL,Not Available,Results are not available for this reporting period,32340
31,1469,1469,90 STEPHENS STREET,CAMILLA,MITCHELL,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,TRUE,MITCHELL COUNTY HOSPITAL,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Government - Hospital District or Authority,Critical Access Hospitals,POINT (-84.205091 31.229277),90 STEPHENS STREET,CAMILLA,GA,,TRUE,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,2293365284,,111331,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,GA,Not Available,Results are not available for this reporting period,31730
1,380,380,503 E LINCOLN STREET,HENDRICKS,LINCOLN,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,TRUE,HENDRICKS COMMUNITY HOSPITAL,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Voluntary non-profit - Private,Critical Access Hospitals,POINT (-96.418768 44.506299),503 E LINCOLN STREET,HENDRICKS,MN,,TRUE,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,5072753134,,241339,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,MN,Same as the national average,,56136
34,1800,1800,200 S CEDAR ST,SHELBYVILLE,SHELBY,Same as the national average,,Same as the national average,,TRUE,HSHS GOOD SHEPHERD HOSPITAL INC,3,,Voluntary non-profit - Private,Acute Care Hospitals,POINT (-88.807113 39.405801),200 S CEDAR ST,SHELBYVILLE,IL,,TRUE,Same as the national average,,Not Available,Results are not available for this reporting period,2177743961,,140019,Same as the national average,,Not Available,Results are not available for this reporting period,IL,Above the national average,,62565
,,,GENERAL VALERO AVE#404,FAJARDO,FAJARDO,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,TRUE,HIMA-SAN PABLO FAJARDO,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Proprietary,Acute Care Hospitals,,GENERAL VALERO AVE#404,FAJARDO,PR,,TRUE,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,7876550505,,400125,Same as the national average,,Not Available,Results are not available for this reporting period,PR,Not Available,Results are not available for this reporting period,738
8,1141,1141,13855 E 14TH STREET,SAN LEANDRO,ALAMEDA,Same as the national average,,Not Available,Results are not available for this reporting period,TRUE,SAN LEANDRO HOSPITAL,2,,Government - Hospital District or Authority,Acute Care Hospitals,POINT (-122.141973 37.714632),13855 E 14TH STREET,SAN LEANDRO,CA,,,Same as the national average,,Below the national average,,5103576500,,50773,Below the national average,,Same as the national average,,CA,Below the national average,,94578
47,2137,2137,45TH AVENUE AND PARSONS BOULEVARD,FLUSHING,QUEENS,Same as the national average,,Same as the national average,,TRUE,FLUSHING HOSPITAL MEDICAL CENTER,1,,Voluntary non-profit - Private,Acute Care Hospitals,POINT (-73.815645 40.755636),45TH AVENUE AND PARSONS BOULEVARD,FLUSHING,NY,,TRUE,Same as the national average,,Below the national average,,7186705000,,330193,Below the national average,,Same as the national average,,NY,Below the national average,,11355
48,2602,2602,5501 OLD YORK ROAD,PHILADELPHIA,PHILADELPHIA,Same as the national average,,Same as the national average,,TRUE,ALBERT EINSTEIN MEDICAL CENTER,2,,Voluntary non-profit - Other,Acute Care Hospitals,POINT (-75.144683 40.036927),5501 OLD YORK ROAD,PHILADELPHIA,PA,,TRUE,Same as the national average,,Below the national average,,2154566090,,390142,Below the national average,,Same as the national average,,PA,Below the national average,,19141
5,1691,1691,551 HIGHLAND DRIVE,ARCO,BUTTE,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,TRUE,LOST RIVERS MEDICAL CENTER,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Government - Hospital District or Authority,Critical Access Hospitals,POINT (-113.296269 43.640553),551 HIGHLAND DRIVE,ARCO,ID,,TRUE,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,2085278206,,131324,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,ID,Not Available,Results are not available for this reporting period,83213
29,1495,1495,295 JACKSON HWY S,GROVE HILL,CLARKE,Below the national average,,Not Available,Results are not available for this reporting period,TRUE,GROVE HILL MEMORIAL HOSPITAL,3,,Government - Hospital District or Authority,Acute Care Hospitals,POINT (-87.777231 31.694213),295 JACKSON HWY S,GROVE HILL,AL,,TRUE,Same as the national average,,Same as the national average,,2512753191,,10091,Same as the national average,,Not Available,Results are not available for this reporting period,AL,Same as the national average,,36451
,,,34TH ST & CIVIC CENTER BLVD,PHILADELPHIA,PHILADELPHIA,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,TRUE,CHILDREN'S HOSPITAL OF PHILADELPHIA,Not Available,Results are not available for this reporting period,Voluntary non-profit - Private,Childrens,,34TH ST & CIVIC CENTER BLVD,PHILADELPHIA,PA,,TRUE,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,2155903745,,393303,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,PA,Not Available,Results are not available for this reporting period,19104
23,807,807,305 MALLARD,TAYLOR,WILLIAMSON,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,TRUE,BAYLOR SCOTT & WHITE MEDICAL CENTER -TAYLOR,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Voluntary non-profit - Private,Critical Access Hospitals,POINT (-97.415265 30.591931),305 MALLARD,TAYLOR,TX,,TRUE,Same as the national average,,Not Available,Results are not available for this reporting period,5123527611,,451374,Same as the national average,,Not Available,Results are not available for this reporting period,TX,Not Available,Results are not available for this reporting period,76574
8,1194,1194,1800 SPRING RIDGE DRIVE,SUSANVILLE,LASSEN,Same as the national average,,Not Available,Results are not available for this reporting period,TRUE,BANNER LASSEN MEDICAL CENTER,4,,Voluntary non-profit - Private,Critical Access Hospitals,POINT (-120.629017 40.438213),1800 SPRING RIDGE DRIVE,SUSANVILLE,CA,,TRUE,Same as the national average,,Above the national average,,5302522000,,51320,Same as the national average,,Not Available,Results are not available for this reporting period,CA,Same as the national average,,96130
,51,51,5900 COLLEGE ROAD,KEY WEST,MONROE,Same as the national average,,Same as the national average,,TRUE,LOWER KEYS MEDICAL CENTER,1,,Proprietary,Acute Care Hospitals,POINT (-81.743688 24.581573),5900 COLLEGE ROAD,KEY WEST,FL,,TRUE,Same as the national average,,Below the national average,,3052945531,,100150,Below the national average,,Below the national average,,FL,Same as the national average,,33040
30,1081,1081,1395 S PINELLAS AVE,TARPON SPRINGS,PINELLAS,Same as the national average,,Not Available,Results are not available for this reporting period,TRUE,FLORIDA HOSPITAL NORTH PINELLAS,3,,Voluntary non-profit - Other,Acute Care Hospitals,POINT (-82.758576 28.13314),1395 S PINELLAS AVE,TARPON SPRINGS,FL,,TRUE,Same as the national average,,Same as the national average,,7279425000,,100055,Same as the national average,,Below the national average,,FL,Above the national average,,34689
,3008,3008,834 SHERIDAN STREET,PORT TOWNSEND,JEFFERSON,Not Available,Results are not available for this reporting period,Same as the national average,,TRUE,JEFFERSON HEALTHCARE,3,,Government - Hospital District or Authority,Critical Access Hospitals,POINT (-122.790285 48.105539),834 SHERIDAN STREET,PORT TOWNSEND,WA,,TRUE,Same as the national average,,Above the national average,,3603852200,,501323,Same as the national average,,Not Available,Results are not available for this reporting period,WA,Same as the national average,,98368
